screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
marta_iansen,Marta Iansen,161840905,641400479218552832,/marta_iansen/status/641400479218552832,2015-09-08 23:59:25,1441756765,Vorfall an serbischer Grenze: Ungarische Kamerafrau tritt Flüchtlinge http://spon.de/aezQp  via @SPIEGELONLINE,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Vorfall an serbischer Grenze: Ungarische Kamerafrau tritt <strong>Flüchtlinge</strong> <a class=""twitter-timeline-link"" data-expanded-url=""http://spon.de/aezQp"" dir=""ltr"" href=""http://t.co/OshJkMhKmf"" rel=""nofollow noopener"" target=""_blank"" title=""http://spon.de/aezQp""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">spon.de/aezQp</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""17965092"" dir=""ltr"" href=""/spiegelonline""><s>@</s><b>SPIEGELONLINE</b></a></p>",['http://spon.de/aezQp'],[],False,[],,0,0,0,False,False,,[]
ich_sehe_alles,ich_sehe_alles,284701608,641400144596979712,/ich_sehe_alles/status/641400144596979712,2015-09-08 23:58:05,1441756685,#Flüchtlinge pic.twitter.com/Z3LQ9nS7dT,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Fl%C3%BCchtlinge?src=hash""><s>#</s><b><strong>Flüchtlinge</strong></b></a> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/Z3LQ9nS7dT"">pic.twitter.com/Z3LQ9nS7dT</a></p>",[],['Flüchtlinge'],True,['https://pbs.twimg.com/media/COa2CHtWwAAmx8g.jpg'],,0,0,0,False,False,,[]
szaktuell,Saarbrücker Zeitung,20316016,641399893689393152,/szaktuell/status/641399893689393152,2015-09-08 23:57:05,1441756625,Zu wenig Trinkwasser: Helfer versorgen Flüchtlinge in Sonderzug: Feuerwehr und Hilfsorganisationen haben in Ko... http://bit.ly/1OwoZmg ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Zu wenig Trinkwasser: Helfer versorgen <strong>Flüchtlinge</strong> in Sonderzug: Feuerwehr und Hilfsorganisationen haben in Ko... <a class=""twitter-timeline-link"" data-expanded-url=""http://bit.ly/1OwoZmg"" dir=""ltr"" href=""http://t.co/lRmDHRv6zc"" rel=""nofollow noopener"" target=""_blank"" title=""http://bit.ly/1OwoZmg""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">bit.ly/1OwoZmg</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://bit.ly/1OwoZmg'],[],False,[],,0,3,0,False,False,,[]
joerg_jacobsen,Jörg Jacobsen,165401641,641399853621374976,/joerg_jacobsen/status/641399853621374976,2015-09-08 23:56:56,1441756616,"Reisende mit Pass verlassen den Zug auf der Fähre. Flüchtlinge müssen warten, schreibt der Kollege in #Rødby.https://twitter.com/saxtorphpoulsen/status/641398988349030400 …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""de"">Reisende mit Pass verlassen den Zug auf der Fähre. <strong>Flüchtlinge</strong> müssen warten, schreibt der Kollege in <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/R%C3%B8dby?src=hash""><s>#</s><b>Rødby</b></a>.<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/saxtorphpoulsen/status/641398988349030400"" dir=""ltr"" href=""https://t.co/IMKzXjnFhj"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/saxtorphpoulsen/status/641398988349030400""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/saxtorphpoulse</span><span class=""invisible"">n/status/641398988349030400</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://twitter.com/saxtorphpoulsen/status/641398988349030400'],['Rødby'],False,[],,0,2,0,False,False,,[]
volmi6,volmi,823323391,641399840639975424,/volmi6/status/641399840639975424,2015-09-08 23:56:53,1441756613,"https://m.youtube.com/watch?v=ps0-2Tpvoqo … Syrisches Mädchen entlarvt falsche Flüchtlinge, 06.09.2015, Standort: Serbien","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-timeline-link"" data-expanded-url=""https://m.youtube.com/watch?v=ps0-2Tpvoqo"" dir=""ltr"" href=""https://t.co/8JwxaZLhJ0"" rel=""nofollow noopener"" target=""_blank"" title=""https://m.youtube.com/watch?v=ps0-2Tpvoqo""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">m.youtube.com/watch?v=ps0-2T</span><span class=""invisible"">pvoqo</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> Syrisches Mädchen entlarvt falsche <strong>Flüchtlinge</strong>, 06.09.2015, Standort: Serbien</p>",['https://m.youtube.com/watch?v=ps0-2Tpvoqo'],[],False,[],,0,0,0,False,False,,[]
LN_Online,LN_Online,17775446,641399834021359616,/LN_Online/status/641399834021359616,2015-09-08 23:56:51,1441756611,"@joerg_jacobsen Die Flüchtlinge kommen jetzt in ein Camp, dürfen nicht weiterreisen. Da scheint es ein Missverständnis gegeben zu haben.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""165401641"" dir=""ltr"" href=""/joerg_jacobsen""><s>@</s><b>joerg_jacobsen</b></a> Die <strong>Flüchtlinge</strong> kommen jetzt in ein Camp, dürfen nicht weiterreisen. Da scheint es ein Missverständnis gegeben zu haben.</p>",[],[],False,[],,1,1,0,False,True,641395757870940160,"[{'screen_name': 'joerg_jacobsen', 'user_id': '165401641'}]"
JoachimStamp,Joachim Stamp,127031150,641399010369105924,/JoachimStamp/status/641399010369105924,2015-09-08 23:53:35,1441756415,"@BischiderErste @ArminLaschet wer sind ""die Muslims""? Derzeitige Situation verträgt keinen billigen Populismus #Flüchtlinge","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""3424722844"" dir=""ltr"" href=""/BischiderErste""><s>@</s><b>BischiderErste</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""835541664"" dir=""ltr"" href=""/ArminLaschet""><s>@</s><b>ArminLaschet</b></a> wer sind ""die Muslims""? Derzeitige Situation verträgt keinen billigen Populismus <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Fl%C3%BCchtlinge?src=hash""><s>#</s><b><strong>Flüchtlinge</strong></b></a></p>",[],['Flüchtlinge'],False,[],,1,0,0,False,True,641289602817486848,"[{'screen_name': 'BischiderErste', 'user_id': '3424722844'}]"
Tarik_Mete,Tarik Mete,719853913,641398894816022528,/Tarik_Mete/status/641398894816022528,2015-09-08 23:53:07,1441756387,Mittlerweile schlafen die meisten Flüchtlinge... Die Situation ist im Griff. Weiterfahrt nach Deutschland ist in... http://fb.me/6GEacCO4A ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Mittlerweile schlafen die meisten <strong>Flüchtlinge</strong>... Die Situation ist im Griff. Weiterfahrt nach Deutschland ist in... <a class=""twitter-timeline-link"" data-expanded-url=""http://fb.me/6GEacCO4A"" dir=""ltr"" href=""http://t.co/Gw55Dg1jAE"" rel=""nofollow noopener"" target=""_blank"" title=""http://fb.me/6GEacCO4A""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">fb.me/6GEacCO4A</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a></p>",['http://fb.me/6GEacCO4A'],[],False,[],,0,0,0,False,False,,[]
rondapauley57,Ronda Pauley,1308352730,641398295806484480,/rondapauley57/status/641398295806484480,2015-09-08 23:50:44,1441756244,"Top story: Klubs spenden für Flüchtlinge - Sky  - Fußball http://www.sky.de/sky-sport-news/fussball/klubs-spenden-fuer-fluechtlinge-34955?wkz=WXFSL1 …, see more http://tweetedtimes.com/rondapauley57?s=tnp …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">Top story: Klubs spenden für <strong>Flüchtlinge</strong> - Sky  - Fußball <a class=""twitter-timeline-link"" data-expanded-url=""http://www.sky.de/sky-sport-news/fussball/klubs-spenden-fuer-fluechtlinge-34955?wkz=WXFSL1"" dir=""ltr"" href=""http://t.co/uEA1yq9NKW"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.sky.de/sky-sport-news/fussball/klubs-spenden-fuer-fluechtlinge-34955?wkz=WXFSL1""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">sky.de/sky-sport-news</span><span class=""invisible"">/fussball/klubs-spenden-fuer-fluechtlinge-34955?wkz=WXFSL1</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a>, see more <a class=""twitter-timeline-link"" data-expanded-url=""http://tweetedtimes.com/rondapauley57?s=tnp"" dir=""ltr"" href=""http://t.co/QkaM7DeQud"" rel=""nofollow noopener"" target=""_blank"" title=""http://tweetedtimes.com/rondapauley57?s=tnp""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">tweetedtimes.com/rondapauley57?</span><span class=""invisible"">s=tnp</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>","['http://www.sky.de/sky-sport-news/fussball/klubs-spenden-fuer-fluechtlinge-34955?wkz=WXFSL1', 'http://tweetedtimes.com/rondapauley57?s=tnp']",[],False,[],,0,0,0,False,False,,[]
un_kommunikativ,Matthias,56081387,641398132165738496,/un_kommunikativ/status/641398132165738496,2015-09-08 23:50:05,1441756205,All dieser Bayernhass bei den #Domian-Tweets. Fühle mich als Flüchtling. Werde jetzt auch anrufen...,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""de"">All dieser Bayernhass bei den <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Domian?src=hash""><s>#</s><b>Domian</b></a>-Tweets. Fühle mich als <strong>Flüchtling</strong>. Werde jetzt auch anrufen...</p>",[],['Domian'],False,[],,1,0,0,False,False,,[]
